transaction_id,date,customer_id,customer_segment,product_category,product_price,quantity,discount_applied,marketing_channel,region,total_revenue,customer_satisfaction,returned,estimated_revenue,month,is_weekend,binary_discount,revenue_per_unit
TXN-00180,2025-01-01,CUST-3509,New,Beauty,324.06,1,0.1,Email,Central,295.34,4.0,0,291.654,2025-01,0,1,295.34
TXN-00303,2025-01-02,CUST-2891,Returning,Beauty,352.42,5,0.0,Direct,North,1758.36,4.0,0,1762.1000000000001,2025-01,0,0,351.67199999999997
TXN-00421,2025-01-02,CUST-4935,Returning,Books,457.24,2,0.0,Organic Search,Central,925.65,4.0,0,914.48,2025-01,0,0,462.825
TXN-00163,2025-01-02,CUST-2020,Returning,Electronics,52.72,1,0.1,Direct,Central,43.75,4.0,0,47.448,2025-01,0,1,43.75
TXN-00032,2025-01-04,CUST-3205,New,Books,299.91,3,0.15,Direct,East,783.52,5.0,0,764.7705,2025-01,1,1,261.17333333333335
TXN-00231,2025-01-04,CUST-2355,Returning,Books,33.23,4,0.05,Social Media,West,120.65,3.0,0,126.27399999999999,2025-01,1,1,30.1625
TXN-00391,2025-01-05,CUST-1994,VIP,Electronics,126.58,1,0.1,Social Media,North,77.68,5.0,0,113.922,2025-01,1,1,77.68
TXN-00367,2025-01-05,CUST-4185,VIP,Clothing,51.23,4,0.0,Referral,Central,185.93,5.0,0,204.92,2025-01,1,0,46.4825
TXN-00432,2025-01-05,CUST-3137,Returning,Home & Garden,330.99,3,0.05,Social Media,Central,950.79,4.0,0,943.3215,2025-01,1,1,316.93
TXN-00150,2025-01-06,CUST-4626,New,Books,423.14,5,0.0,Organic Search,North,2098.29,4.0,0,2115.7,2025-01,0,0,419.658
TXN-00291,2025-01-08,CUST-1110,New,Clothing,204.72,4,0.05,Organic Search,South,787.86,3.0,0,777.9359999999999,2025-01,0,1,196.965
TXN-00184,2025-01-10,CUST-3067,VIP,Clothing,351.19,5,0.05,Email,South,1668.23,5.0,0,1668.1525,2025-01,0,1,333.646
TXN-00225,2025-01-11,CUST-1625,New,Sports,201.22,2,0.0,Paid Search,North,382.68,4.0,0,402.44,2025-01,1,0,191.34
TXN-00464,2025-01-13,CUST-2377,Returning,Beauty,171.22,1,0.15,Referral,North,147.03,4.0,0,145.537,2025-01,0,1,147.03
TXN-00484,2025-01-13,CUST-3116,Returning,Electronics,335.5,4,0.0,Social Media,West,1330.4,3.0,0,1342.0,2025-01,0,0,332.6
TXN-00003,2025-01-13,CUST-2069,Returning,Electronics,299.73,4,0.0,Email,East,1186.95,3.0,0,1198.92,2025-01,0,0,296.7375
TXN-00021,2025-01-14,CUST-4684,Returning,Beauty,104.46,2,0.05,Organic Search,South,214.8,4.0,1,198.474,2025-01,0,1,107.4
TXN-00499,2025-01-15,CUST-3010,VIP,Clothing,375.98,2,0.1,Email,East,648.24,5.0,0,676.764,2025-01,0,1,324.12
TXN-00015,2025-01-16,CUST-2284,New,Clothing,264.86,5,0.0,Email,Central,1324.97,3.0,0,1324.3000000000002,2025-01,0,0,264.994
TXN-00103,2025-01-17,CUST-3698,New,Clothing,120.74,5,0.0,Email,South,622.67,4.0,0,603.6999999999999,2025-01,0,0,124.53399999999999
TXN-00238,2025-01-17,CUST-2720,New,Home & Garden,268.42,2,0.15,Organic Search,West,468.31,3.0,0,456.314,2025-01,0,1,234.155
TXN-00014,2025-01-17,CUST-4221,New,Beauty,118.15,3,0.0,Organic Search,South,370.52,4.0,0,354.45000000000005,2025-01,0,0,123.50666666666666
TXN-00438,2025-01-19,CUST-4766,Returning,Clothing,240.33,4,0.0,Social Media,South,987.94,3.0,0,961.32,2025-01,1,0,246.985
TXN-00475,2025-01-20,CUST-2394,Returning,Clothing,314.05,2,0.15,Referral,West,499.29,4.0,0,533.885,2025-01,0,1,249.645
TXN-00448,2025-01-21,CUST-2320,Returning,Clothing,378.34,5,0.1,Email,East,1717.84,4.0,0,1702.53,2025-01,0,1,343.568
TXN-00344,2025-01-21,CUST-1083,Returning,Home & Garden,173.32,3,0.1,Organic Search,North,468.58,4.0,0,467.96400000000006,2025-01,0,1,156.19333333333333
TXN-00445,2025-01-22,CUST-3994,Returning,Clothing,477.03,3,0.1,Paid Search,East,1254.89,4.0,0,1287.981,2025-01,0,1,418.2966666666667
TXN-00420,2025-01-23,CUST-2775,Returning,Books,157.67,5,0.15,Referral,North,693.52,4.0,0,670.0974999999999,2025-01,0,1,138.704
TXN-00049,2025-01-23,CUST-3717,Returning,Books,422.3,5,0.0,Direct,West,2106.74,4.0,0,2111.5,2025-01,0,0,421.34799999999996
TXN-00064,2025-01-24,CUST-1521,New,Beauty,307.55,5,0.0,Email,South,1524.95,4.0,0,1537.75,2025-01,0,0,304.99
TXN-00134,2025-01-25,CUST-3357,New,Beauty,58.81,3,0.0,Direct,East,173.61,3.0,0,176.43,2025-01,1,0,57.870000000000005
TXN-00323,2025-01-26,CUST-1335,Returning,Books,92.79,5,0.1,Referral,East,420.57,4.0,0,417.55500000000006,2025-01,1,1,84.114
TXN-00288,2025-01-26,CUST-1522,Returning,Sports,449.04,3,0.15,Referral,East,1131.09,3.0,1,1145.0520000000001,2025-01,1,1,377.03
TXN-00415,2025-01-27,CUST-4479,Returning,Books,89.52,1,0.1,Email,South,94.4,3.0,0,80.568,2025-01,0,1,94.4
TXN-00264,2025-01-28,CUST-4061,Returning,Electronics,421.35,2,0.05,Paid Search,East,774.88,4.0,0,800.565,2025-01,0,1,387.44
TXN-00101,2025-01-29,CUST-4014,New,Clothing,353.94,5,0.15,Organic Search,Central,1469.3,3.0,0,1504.245,2025-01,0,1,293.86
TXN-00317,2025-01-30,CUST-4080,Returning,Sports,434.28,5,0.05,Social Media,North,2039.94,4.0,0,2062.8299999999995,2025-01,0,1,407.988
TXN-00189,2025-01-30,CUST-2826,Returning,Books,499.69,2,0.15,Direct,West,884.46,4.0,0,849.473,2025-01,0,1,442.23
TXN-00322,2025-01-30,CUST-4419,Returning,Electronics,91.31,1,0.0,Direct,South,101.89,4.0,0,91.31,2025-01,0,0,101.89
TXN-00329,2025-01-30,CUST-4899,Returning,Home & Garden,106.77,2,0.0,Paid Search,Central,229.22,4.0,0,213.54,2025-01,0,0,114.61
TXN-00300,2025-01-31,CUST-2755,New,Electronics,151.47,1,0.05,Organic Search,Central,130.12,3.0,0,143.8965,2025-01,0,1,130.12
TXN-00235,2025-01-31,CUST-1255,New,Clothing,208.17,4,0.0,Direct,Central,834.79,4.0,0,832.68,2025-01,0,0,208.6975
TXN-00320,2025-02-01,CUST-2726,New,Clothing,436.06,4,0.2,Social Media,Central,1425.92,4.0,0,1395.392,2025-02,1,1,356.48
TXN-00269,2025-02-01,CUST-4677,New,Beauty,201.28,5,0.1,Email,East,904.85,4.0,0,905.76,2025-02,1,1,180.97
TXN-00223,2025-02-02,CUST-2568,New,Electronics,15.12,5,0.05,Social Media,West,49.76,3.0,0,71.82,2025-02,1,1,9.952
TXN-00142,2025-02-02,CUST-1604,New,Sports,475.41,4,0.0,Organic Search,South,1899.9,4.0,0,1901.64,2025-02,1,0,474.975
TXN-00107,2025-02-03,CUST-3719,Returning,Home & Garden,451.78,4,0.0,Social Media,West,1805.45,4.0,0,1807.12,2025-02,0,0,451.3625
TXN-00237,2025-02-04,CUST-4411,New,Sports,178.14,3,0.0,Referral,South,506.07,3.0,0,534.42,2025-02,0,0,168.69
TXN-00335,2025-02-04,CUST-4921,New,Sports,412.67,2,0.0,Paid Search,East,805.58,3.0,1,825.34,2025-02,0,0,402.79
TXN-00379,2025-02-05,CUST-4719,Returning,Clothing,137.47,1,0.0,Paid Search,North,128.09,4.0,0,137.47,2025-02,0,0,128.09
TXN-00063,2025-02-05,CUST-3270,Returning,Electronics,494.53,4,0.0,Direct,South,1979.51,4.0,1,1978.12,2025-02,0,0,494.8775
TXN-00195,2025-02-05,CUST-2843,New,Beauty,108.41,5,0.15,Email,South,463.46,4.0,0,460.74249999999995,2025-02,0,1,92.692
TXN-00490,2025-02-05,CUST-2664,VIP,Books,94.54,2,0.0,Social Media,Central,181.48,4.0,0,189.08,2025-02,0,0,90.74
TXN-00333,2025-02-05,CUST-1281,New,Beauty,441.35,1,0.05,Referral,North,417.43,3.0,0,419.2825,2025-02,0,1,417.43
TXN-00232,2025-02-06,CUST-3222,Returning,Clothing,247.69,5,0.05,Organic Search,East,1185.03,4.0,0,1176.5275,2025-02,0,1,237.006
TXN-00240,2025-02-06,CUST-4706,New,Electronics,16.62,3,0.1,Organic Search,West,33.02,3.0,0,44.874,2025-02,0,1,11.006666666666668
TXN-00085,2025-02-06,CUST-4218,New,Beauty,417.87,5,0.0,Referral,North,2119.76,3.0,0,2089.35,2025-02,0,0,423.95200000000006
TXN-00372,2025-02-07,CUST-1442,New,Books,329.07,4,0.05,Email,South,1260.3,3.0,0,1250.466,2025-02,0,1,315.075
TXN-00366,2025-02-07,CUST-1469,New,Books,43.09,5,0.1,Direct,North,209.1,3.0,0,193.90500000000003,2025-02,0,1,41.82
TXN-00284,2025-02-08,CUST-1676,New,Home & Garden,239.74,1,0.0,Email,North,233.79,3.0,0,239.74,2025-02,1,0,233.79
TXN-00434,2025-02-08,CUST-3664,New,Books,301.28,4,0.15,Referral,South,1060.75,4.0,0,1024.3519999999999,2025-02,1,1,265.1875
TXN-00054,2025-02-10,CUST-2230,VIP,Books,110.11,2,0.1,Direct,West,192.6,4.0,0,198.198,2025-02,0,1,96.3
TXN-00192,2025-02-10,CUST-4046,VIP,Beauty,166.73,3,0.15,Email,East,415.31,5.0,0,425.16149999999993,2025-02,0,1,138.43666666666667
TXN-00068,2025-02-10,CUST-4851,Returning,Books,83.42,1,0.15,Organic Search,North,40.61,4.0,0,70.907,2025-02,0,1,40.61
TXN-00331,2025-02-11,CUST-1918,New,Electronics,481.24,5,0.05,Direct,Central,2323.18,4.0,0,2285.89,2025-02,0,1,464.63599999999997
TXN-00346,2025-02-11,CUST-1624,Returning,Beauty,71.18,3,0.15,Referral,West,171.92,4.0,0,181.50900000000001,2025-02,0,1,57.306666666666665
TXN-00193,2025-02-13,CUST-4528,VIP,Clothing,73.45,2,0.1,Organic Search,North,143.06,4.0,0,132.21,2025-02,0,1,71.53
TXN-00011,2025-02-14,CUST-2779,New,Beauty,393.54,4,0.1,Organic Search,West,1384.97,3.0,0,1416.7440000000001,2025-02,0,1,346.2425
TXN-00133,2025-02-16,CUST-3579,New,Books,104.42,3,0.05,Direct,North,280.31,4.0,0,297.597,2025-02,1,1,93.43666666666667
TXN-00016,2025-02-17,CUST-2787,New,Home & Garden,488.14,5,0.0,Organic Search,Central,2421.58,3.0,0,2440.7,2025-02,0,0,484.316
TXN-00292,2025-02-17,CUST-4714,New,Beauty,147.39,1,0.15,Referral,Central,126.17,4.0,0,125.28149999999998,2025-02,0,1,126.17
TXN-00416,2025-02-17,CUST-2720,Returning,Sports,235.04,2,0.0,Organic Search,North,502.03,5.0,0,470.08,2025-02,0,0,251.015
TXN-00042,2025-02-17,CUST-1286,Returning,Electronics,51.62,2,0.0,Social Media,Central,112.34,3.0,0,103.24,2025-02,0,0,56.17
TXN-00256,2025-02-18,CUST-4086,Returning,Beauty,491.43,5,0.1,Email,South,2255.82,5.0,1,2211.435,2025-02,0,1,451.16400000000004
TXN-00044,2025-02-19,CUST-3720,VIP,Electronics,147.07,3,0.0,Paid Search,North,421.18,4.0,0,441.21,2025-02,0,0,140.39333333333335
TXN-00257,2025-02-19,CUST-2597,VIP,Beauty,443.84,4,0.1,Paid Search,North,1602.86,4.0,0,1597.8239999999998,2025-02,0,1,400.715
TXN-00287,2025-02-20,CUST-4766,Returning,Books,31.91,2,0.0,Social Media,South,60.13,5.0,0,63.82,2025-02,0,0,30.065
TXN-00268,2025-02-20,CUST-3470,Returning,Sports,37.77,1,0.2,Email,West,35.41,4.0,0,30.216000000000005,2025-02,0,1,35.41
TXN-00371,2025-02-21,CUST-2274,New,Home & Garden,231.29,3,0.15,Social Media,Central,583.14,4.0,0,589.7895,2025-02,0,1,194.38
TXN-00070,2025-02-21,CUST-3774,VIP,Beauty,172.14,1,0.05,Paid Search,North,146.16,4.0,0,163.533,2025-02,0,1,146.16
TXN-00041,2025-02-22,CUST-2766,New,Clothing,177.17,4,0.0,Social Media,East,707.47,3.0,0,708.68,2025-02,1,0,176.8675
TXN-00008,2025-02-22,CUST-1156,VIP,Sports,95.27,1,0.0,Direct,East,83.88,,0,95.27,2025-02,1,0,83.88
TXN-00454,2025-02-22,CUST-2142,VIP,Sports,117.02,2,0.0,Organic Search,East,239.27,5.0,0,234.04,2025-02,1,0,119.635
TXN-00396,2025-02-23,CUST-4482,VIP,Books,369.67,3,0.1,Organic Search,West,1010.7,5.0,1,998.109,2025-02,1,1,336.90000000000003
TXN-00400,2025-02-24,CUST-1495,Returning,Books,383.65,5,0.15,Social Media,West,1637.12,4.0,0,1630.5125,2025-02,0,1,327.424
TXN-00168,2025-02-24,CUST-1546,New,Beauty,167.58,1,0.15,Organic Search,West,148.14,3.0,0,142.443,2025-02,0,1,148.14
TXN-00272,2025-02-25,CUST-1898,Returning,Sports,415.71,1,0.2,Email,North,351.74,4.0,0,332.568,2025-02,0,1,351.74
TXN-00473,2025-02-25,CUST-4267,New,Books,449.67,2,0.15,Paid Search,Central,751.25,5.0,0,764.439,2025-02,0,1,375.625
TXN-00135,2025-02-26,CUST-1796,VIP,Home & Garden,388.93,2,0.25,Organic Search,South,589.73,4.0,0,583.395,2025-02,0,1,294.865
TXN-00158,2025-02-27,CUST-3850,Returning,Clothing,215.2,2,0.0,Direct,South,434.54,4.0,0,430.4,2025-02,0,0,217.27
TXN-00002,2025-02-27,CUST-4974,VIP,Electronics,460.45,3,0.1,Organic Search,West,1208.81,4.0,0,1243.215,2025-02,0,1,402.93666666666667
TXN-00185,2025-02-27,CUST-2747,New,Sports,40.02,5,0.05,Referral,East,205.96,4.0,0,190.095,2025-02,0,1,41.192
TXN-00433,2025-02-27,CUST-4954,Returning,Home & Garden,173.07,3,0.0,Organic Search,West,511.26,4.0,0,519.21,2025-02,0,0,170.42
TXN-00152,2025-02-28,CUST-4188,New,Home & Garden,478.29,5,0.1,Social Media,Central,2146.29,4.0,0,2152.3050000000003,2025-02,0,1,429.258
TXN-00399,2025-03-01,CUST-4299,Returning,Electronics,482.79,3,0.1,Referral,South,1322.87,5.0,0,1303.5330000000001,2025-03,1,1,440.95666666666665
TXN-00500,2025-03-01,CUST-2835,VIP,Clothing,437.84,3,0.1,Organic Search,West,1197.8,5.0,0,1182.1680000000001,2025-03,1,1,399.26666666666665
TXN-00339,2025-03-03,CUST-1127,Returning,Home & Garden,284.75,3,0.1,Direct,Central,753.66,4.0,0,768.825,2025-03,0,1,251.22
TXN-00220,2025-03-03,CUST-1566,Returning,Beauty,217.49,2,0.1,Paid Search,Central,394.78,3.0,0,391.482,2025-03,0,1,197.39
TXN-00052,2025-03-05,CUST-3948,Returning,Home & Garden,282.59,1,0.1,Organic Search,South,282.07,5.0,0,254.331,2025-03,0,1,282.07
TXN-00197,2025-03-06,CUST-4079,Returning,Books,219.55,3,0.05,Social Media,South,611.83,4.0,0,625.7175000000001,2025-03,0,1,203.94333333333336
TXN-00444,2025-03-07,CUST-4382,New,Sports,382.17,2,0.0,Social Media,North,758.09,4.0,0,764.34,2025-03,0,0,379.045
TXN-00198,2025-03-07,CUST-2012,VIP,Clothing,400.74,5,0.0,Organic Search,North,2010.3,4.0,0,2003.7,2025-03,0,0,402.06
TXN-00423,2025-03-08,CUST-3603,New,Sports,104.95,1,0.25,Social Media,Central,78.74,4.0,0,78.7125,2025-03,1,1,78.74
TXN-00248,2025-03-09,CUST-4135,VIP,Books,36.87,4,0.1,Social Media,South,86.12,5.0,0,132.732,2025-03,1,1,21.53
TXN-00360,2025-03-09,CUST-1687,Returning,Home & Garden,388.86,4,0.0,Paid Search,South,1569.46,4.0,0,1555.44,2025-03,1,0,392.365
TXN-00377,2025-03-09,CUST-3358,Returning,Electronics,195.34,4,0.0,Social Media,East,794.77,4.0,1,781.36,2025-03,1,0,198.6925
TXN-00397,2025-03-10,CUST-3802,VIP,Beauty,456.12,5,0.0,Direct,Central,2302.03,3.0,0,2280.6,2025-03,0,0,460.40600000000006
TXN-00130,2025-03-12,CUST-2865,Returning,Beauty,219.69,4,0.0,Email,North,888.71,4.0,0,878.76,2025-03,0,0,222.1775
TXN-00278,2025-03-13,CUST-2376,Returning,Beauty,269.64,2,0.0,Email,South,546.05,4.0,0,539.28,2025-03,0,0,273.025
TXN-00007,2025-03-13,CUST-2087,New,Books,295.15,5,0.15,Referral,West,1263.99,4.0,0,1254.3875,2025-03,0,1,252.798
TXN-00119,2025-03-13,CUST-4303,VIP,Books,82.91,1,0.05,Email,North,74.47,5.0,0,78.7645,2025-03,0,1,74.47
TXN-00117,2025-03-15,CUST-2271,Returning,Home & Garden,364.3,2,0.05,Social Media,West,705.28,4.0,0,692.17,2025-03,1,1,352.64
TXN-00442,2025-03-17,CUST-2904,VIP,Beauty,365.12,5,0.2,Direct,Central,1521.72,5.0,0,1460.48,2025-03,0,1,304.344
TXN-00436,2025-03-18,CUST-3522,Returning,Home & Garden,492.41,4,0.05,Social Media,Central,1880.63,4.0,0,1871.158,2025-03,0,1,470.1575
TXN-00175,2025-03-20,CUST-2299,Returning,Electronics,479.71,4,0.0,Social Media,Central,1935.45,4.0,0,1918.84,2025-03,0,0,483.8625
TXN-00136,2025-03-20,CUST-3942,New,Home & Garden,48.1,1,0.1,Referral,East,47.08,3.0,0,43.29,2025-03,0,1,47.08
TXN-00402,2025-03-21,CUST-3318,VIP,Home & Garden,166.3,4,0.15,Direct,South,600.52,5.0,0,565.4200000000001,2025-03,0,1,150.13
TXN-00313,2025-03-21,CUST-4117,New,Clothing,454.66,4,0.25,Referral,East,1391.91,4.0,0,1363.98,2025-03,0,1,347.9775
TXN-00459,2025-03-21,CUST-2903,New,Clothing,274.11,2,0.1,Referral,Central,490.07,4.0,0,493.398,2025-03,0,1,245.035
TXN-00038,2025-03-21,CUST-3746,New,Electronics,256.05,4,0.15,Organic Search,Central,859.88,4.0,0,870.57,2025-03,0,1,214.97
TXN-00328,2025-03-22,CUST-1213,Returning,Beauty,354.01,3,0.25,Direct,East,825.36,5.0,0,796.5225,2025-03,1,1,275.12
TXN-00383,2025-03-22,CUST-4856,Returning,Home & Garden,472.99,4,0.05,Direct,West,1820.59,4.0,0,1797.3619999999999,2025-03,1,1,455.1475
TXN-00161,2025-03-22,CUST-1205,New,Books,237.95,1,0.15,Social Media,West,205.34,4.0,0,202.2575,2025-03,1,1,205.34
TXN-00471,2025-03-23,CUST-1868,New,Electronics,476.5,5,0.2,Social Media,North,1892.67,4.0,0,1906.0,2025-03,1,1,378.534
TXN-00138,2025-03-23,CUST-2572,Returning,Home & Garden,227.04,5,0.15,Social Media,North,956.14,4.0,0,964.92,2025-03,1,1,191.228
TXN-00033,2025-03-23,CUST-3813,New,Clothing,157.61,1,0.1,Referral,Central,154.52,3.0,0,141.84900000000002,2025-03,1,1,154.52
TXN-00426,2025-03-24,CUST-2883,Returning,Home & Garden,305.19,3,0.2,Email,Central,754.01,4.0,1,732.456,2025-03,0,1,251.33666666666667
TXN-00177,2025-03-24,CUST-4093,Returning,Electronics,324.89,2,0.15,Referral,Central,520.01,5.0,0,552.313,2025-03,0,1,260.005
TXN-00461,2025-03-25,CUST-3499,New,Sports,55.02,5,0.0,Social Media,West,257.19,3.0,0,275.1,2025-03,0,0,51.438
TXN-00076,2025-03-25,CUST-2232,Returning,Clothing,440.08,5,0.0,Referral,South,2187.25,4.0,0,2200.4,2025-03,0,0,437.45
TXN-00091,2025-03-25,CUST-2809,New,Electronics,487.66,4,0.2,Paid Search,West,1533.95,4.0,0,1560.5120000000002,2025-03,0,1,383.4875
TXN-00301,2025-03-26,CUST-1555,New,Clothing,137.53,2,0.15,Direct,East,208.72,4.0,0,233.801,2025-03,0,1,104.36
TXN-00202,2025-03-26,CUST-4136,New,Home & Garden,268.38,5,0.0,Paid Search,West,1308.7,3.0,0,1341.9,2025-03,0,0,261.74
TXN-00294,2025-03-27,CUST-3424,New,Home & Garden,36.52,1,0.0,Paid Search,South,25.33,3.0,0,36.52,2025-03,0,0,25.33
TXN-00088,2025-03-29,CUST-3681,Returning,Beauty,190.94,1,0.05,Social Media,North,170.83,4.0,0,181.393,2025-03,1,1,170.83
TXN-00462,2025-04-01,CUST-3736,Returning,Clothing,414.89,1,0.0,Direct,East,434.81,4.0,0,414.89,2025-04,0,0,434.81
TXN-00465,2025-04-02,CUST-1117,VIP,Home & Garden,489.07,5,0.0,Direct,North,2469.2,5.0,0,2445.35,2025-04,0,0,493.84
TXN-00166,2025-04-02,CUST-1497,Returning,Sports,17.55,1,0.0,Email,West,32.88,5.0,0,17.55,2025-04,0,0,32.88
TXN-00280,2025-04-04,CUST-3781,Returning,Home & Garden,264.9,2,0.2,Direct,South,420.1,5.0,1,423.84,2025-04,0,1,210.05
TXN-00332,2025-04-06,CUST-3662,Returning,Books,240.75,5,0.15,Social Media,South,1045.39,4.0,0,1023.1875,2025-04,1,1,209.07800000000003
TXN-00275,2025-04-08,CUST-2989,Returning,Beauty,119.92,2,0.0,Direct,North,264.73,5.0,0,239.84,2025-04,0,0,132.365
TXN-00255,2025-04-08,CUST-2223,New,Books,300.45,2,0.1,Email,West,551.79,4.0,0,540.81,2025-04,0,1,275.895
TXN-00314,2025-04-08,CUST-4603,VIP,Clothing,292.09,2,0.0,Social Media,West,592.47,4.0,0,584.18,2025-04,0,0,296.235
TXN-00061,2025-04-09,CUST-3855,New,Books,364.59,5,0.2,Paid Search,West,1480.59,4.0,0,1458.36,2025-04,0,1,296.118
TXN-00486,2025-04-09,CUST-1782,VIP,Electronics,304.78,5,0.15,Paid Search,West,1272.54,4.0,0,1295.3149999999998,2025-04,0,1,254.50799999999998
TXN-00274,2025-04-09,CUST-2785,VIP,Sports,320.44,4,0.15,Email,West,1106.26,5.0,0,1089.4959999999999,2025-04,0,1,276.565
TXN-00174,2025-04-12,CUST-3438,New,Home & Garden,57.05,2,0.15,Organic Search,South,81.97,3.0,0,96.985,2025-04,1,1,40.985
TXN-00023,2025-04-12,CUST-1778,New,Home & Garden,165.32,4,0.05,Referral,West,649.97,3.0,0,628.2159999999999,2025-04,1,1,162.4925
TXN-00478,2025-04-13,CUST-3441,Returning,Beauty,468.57,4,0.0,Paid Search,South,1865.02,3.0,0,1874.28,2025-04,1,0,466.255
TXN-00210,2025-04-13,CUST-1317,New,Home & Garden,228.9,1,0.05,Social Media,South,190.19,3.0,0,217.45499999999998,2025-04,1,1,190.19
TXN-00354,2025-04-15,CUST-1892,New,Beauty,422.46,4,0.05,Direct,Central,1604.29,3.0,0,1605.348,2025-04,0,1,401.0725
TXN-00408,2025-04-15,CUST-3709,New,Clothing,361.74,1,0.25,Referral,West,274.49,4.0,0,271.305,2025-04,0,1,274.49
TXN-00079,2025-04-18,CUST-4414,New,Beauty,456.65,4,0.0,Direct,West,1837.42,3.0,1,1826.6,2025-04,0,0,459.355
TXN-00406,2025-04-18,CUST-3182,VIP,Beauty,112.17,4,0.1,Direct,Central,392.75,4.0,0,403.812,2025-04,0,1,98.1875
TXN-00450,2025-04-18,CUST-2005,New,Electronics,64.85,2,0.15,Social Media,South,132.5,4.0,0,110.24499999999999,2025-04,0,1,66.25
TXN-00108,2025-04-19,CUST-3592,Returning,Home & Garden,350.24,4,0.0,Email,East,1404.67,4.0,0,1400.96,2025-04,1,0,351.1675
TXN-00207,2025-04-19,CUST-1979,New,Clothing,248.32,3,0.0,Paid Search,South,731.6,4.0,0,744.96,2025-04,1,0,243.86666666666667
TXN-00111,2025-04-19,CUST-1382,New,Electronics,271.89,4,0.05,Organic Search,Central,1063.15,4.0,0,1033.1819999999998,2025-04,1,1,265.7875
TXN-00298,2025-04-20,CUST-1343,New,Electronics,466.82,5,0.1,Organic Search,Central,2127.61,3.0,0,2100.69,2025-04,1,1,425.52200000000005
TXN-00246,2025-04-20,CUST-4509,VIP,Home & Garden,149.47,4,0.1,Paid Search,Central,566.35,5.0,0,538.092,2025-04,1,1,141.5875
TXN-00374,2025-04-20,CUST-1105,Returning,Electronics,201.05,2,0.05,Organic Search,North,383.33,4.0,0,381.995,2025-04,1,1,191.665
TXN-00039,2025-04-21,CUST-1807,Returning,Books,386.2,2,0.1,Referral,Central,680.91,3.0,0,695.16,2025-04,0,1,340.455
TXN-00316,2025-04-22,CUST-2139,Returning,Clothing,278.73,2,0.0,Paid Search,South,569.94,4.0,0,557.46,2025-04,0,0,284.97
TXN-00017,2025-04-22,CUST-3483,New,Books,237.61,1,0.1,Referral,East,167.67,5.0,0,213.84900000000002,2025-04,0,1,167.67
TXN-00230,2025-04-23,CUST-2669,Returning,Electronics,57.94,1,0.15,Social Media,East,84.14,4.0,0,49.248999999999995,2025-04,0,1,84.14
